Fantasy Rank,Player,Team,Fantasy Position,Age,Games Played,Games Started,Passes Completed,Passes Attempted,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Yards Per Attempt,Pass Targets,Receptions,Receiving Yards,Receiving Yards Per Reception,Fumbles,Fumbles Lost,Touchdowns,Fantasy Points,Position Rank
414,Nick Bawden,NYJ,FB,27,16,2,0,0,0,0,0,2,4,2,3,3,21,7,0,0,1,11.5,108
415,Richie James,KAN,WR,28,9,1,0,0,0,0,0,0,0,,14,10,114,11.4,2,1,0,19.4,165
416,Marcedes Lewis,CHI,TE,39,17,4,0,0,0,0,0,0,0,,5,4,29,7.25,0,0,1,12.9,80
417,Quintin Morris,BUF,TE,24,15,0,0,0,0,0,0,0,0,,3,2,26,13,0,0,1,10.6,81
418,Geoff Swaim,ARI,TE,30,14,8,0,0,0,0,0,0,0,,11,10,94,9.4,0,0,0,19.4,79
419,Brycen Hopkins,LAR,TE,26,15,0,0,0,0,0,0,0,0,,7,5,78,15.6,0,0,0,12.8,83
420,Tim Jones,JAX,WR,25,17,2,0,0,0,0,0,0,0,,18,11,83,7.55,0,0,0,19.3,166
421,Dare Ogunbowale,HOU,RB,29,12,0,0,0,0,0,0,8,35,4.38,7,2,18,9,0,0,0,10.3,109
422,Ben Sims,GNB,TE,23,17,1,0,0,0,0,0,0,0,,6,4,21,5.25,0,0,1,12.1,82
423,Samori Toure,GNB,WR,25,11,0,0,0,0,0,0,0,0,,18,8,78,9.75,1,1,0,15.8,167
424,Deuce Vaughn,DAL,RB,22,7,0,0,0,0,0,0,23,40,1.74,7,7,40,5.71,0,0,0,15,110
425,Trayveon Williams,CIN,RB,26,17,0,0,0,0,0,0,15,69,4.6,9,7,10,1.43,0,0,0,14.9,111
426,Blake Bell,KAN,TE,32,17,3,0,0,0,0,0,0,0,,9,5,26,5.2,1,1,1,11.6,84
427,Gary Brightwell,NYG,RB,24,7,0,0,0,0,0,0,9,19,2.11,7,5,47,9.4,0,0,0,11.6,113
428,Chris Conley,SFO,WR,31,8,0,0,0,0,0,0,0,0,,6,3,69,23,0,0,0,9.9,170
429,Josiah Deguara,GNB,TE,26,15,4,0,0,0,0,0,0,0,,8,8,65,8.13,0,0,0,14.5,85
430,Simi Fehoko,LAC,WR,26,6,0,0,0,0,0,0,0,0,,2,1,9,9,0,0,1,7.9,171
431,Eric Gray,NYG,RB,24,13,0,0,0,0,0,0,17,48,2.82,7,6,22,3.67,3,0,0,13,112
432,Tyler Johnson,LAR,WR,25,1,0,0,0,0,0,0,0,0,,3,2,8,4,0,0,1,8.8,172
433,Velus Jones Jr.,CHI,WR,26,14,0,0,0,0,0,0,8,51,6.38,7,4,20,5,0,0,0,11.1,168
434,Clayton Tune,ARI,QB,24,7,1,12,21,62,0,2,8,30,3.75,0,0,0,,2,1,1,7.5,65
435,Tylan Wallace,BAL,WR,24,11,0,0,0,0,0,0,0,0,,2,1,11,11,0,0,1,8.1,169
436,Jalen Brooks,DAL,WR,23,7,0,0,0,0,0,0,0,0,,6,6,64,10.67,0,0,0,12.4,173
437,DeAndre Carter,LVR,WR,30,17,1,0,0,0,0,0,3,18,6,7,4,39,9.75,2,0,0,9.7,176
438,Payne Durham,TAM,TE,23,13,2,0,0,0,0,0,0,0,,7,5,58,11.6,0,0,0,10.8,88
439,Blaine Gabbert,KAN,QB,34,2,1,18,35,185,0,3,7,45,6.43,0,0,0,,0,0,0,5.9,66
440,Rakim Jarrett,TAM,WR,22,10,0,0,0,0,0,0,1,0,0,9,4,60,15,0,0,0,10,175
441,Ko Kieft,TAM,TE,25,16,6,0,0,0,0,0,0,0,,5,1,2,2,0,0,1,7.2,86
442,Isaiah McKenzie,IND,WR,28,13,2,0,0,0,0,0,3,14,4.67,14,11,82,7.45,3,2,0,16.6,177
443,Equanimeous St. Brown,CHI,WR,27,7,2,0,0,0,0,0,0,0,,6,5,62,12.4,0,0,0,11.2,174
444,Ian Thomas,CAR,TE,27,12,5,0,0,0,0,0,0,0,,9,5,56,11.2,0,0,0,10.6,89
445,Darnell Washington,PIT,TE,22,17,7,0,0,0,0,0,0,0,,10,7,61,8.71,0,0,0,13.1,87
446,Mitchell Wilcox,CIN,TE,27,17,4,0,0,0,0,0,0,0,,12,9,56,6.22,0,0,0,14.6,90
447,Damien Williams,ARI,RB,31,3,0,0,0,0,0,0,11,43,3.91,2,2,12,6,0,0,0,7.5,114
448,Brian Hoyer,LVR,QB,38,3,1,23,42,231,0,2,3,-3,-1,0,0,0,,0,0,0,4.9,67
449,Ty Montgomery,NWE,WR,30,13,0,0,0,0,0,0,3,9,3,12,5,40,8,0,0,0,9.9,179
450,Justyn Ross,KAN,WR,24,10,1,0,0,0,0,0,0,0,,11,6,53,8.83,0,0,0,11.3,178
451,Brett Rypien,LAR,QB,27,2,1,18,38,172,0,1,3,19,6.33,0,0,0,,2,1,0,4.8,68
452,Mike Strachan,CAR,WR,26,4,1,0,0,0,0,0,0,0,,3,1,45,45,0,0,0,5.5,180
453,Michael Burton,DEN,FB,31,17,3,0,0,0,0,0,7,9,1.29,3,3,8,2.67,0,0,0,6.7,118
454,Grant Calcaterra,PHI,TE,25,15,1,0,0,0,0,0,0,0,,4,4,39,9.75,0,0,0,7.9,91
455,Elijah Cooks,JAX,WR,25,9,0,0,0,0,0,0,0,0,,4,3,38,12.67,0,0,0,6.8,182
456,Britain Covey,PHI,WR,26,16,0,0,0,0,0,0,0,0,,6,4,42,10.5,2,0,0,8.2,181
457,Leonard Fournette,BUF,RB,28,2,0,0,0,0,0,0,12,40,3.33,0,0,0,,0,0,0,4,116
458,Peyton Hendershot,DAL,TE,24,8,1,0,0,0,0,0,1,0,0,7,4,38,9.5,0,0,0,7.8,92
459,Rashaad Penny,PHI,RB,27,3,0,0,0,0,0,0,11,33,3,1,1,5,5,0,0,0,4.8,117
460,Jack Stoll,PHI,TE,25,17,10,0,0,0,0,0,0,0,,8,5,38,7.6,0,0,0,8.8,93
461,Ke'Shawn Vaughn,TAM,RB,26,6,0,0,0,0,0,0,24,42,1.75,5,2,2,1,0,0,0,6.4,115
462,Khari Blasingame,CHI,FB,27,16,2,0,0,0,0,0,8,26,3.25,6,3,2,0.67,0,0,0,5.8,122
463,Keelan Doss,LAC,WR,27,5,0,0,0,0,0,0,0,0,,13,6,33,5.5,0,0,0,9.3,183
464,Greg Dulcich,DEN,TE,23,2,1,0,0,0,0,0,0,0,,4,3,25,8.33,0,0,0,5.5,99
465,Devin Duvernay,BAL,WR,26,13,1,0,0,0,0,0,4,15,3.75,9,4,18,4.5,0,0,0,7.3,184
466,Derrick Gore,WAS,RB,29,6,0,0,0,0,0,0,3,26,8.67,0,0,0,,0,0,0,2.6,123
467,C.J. Ham*,MIN,FB,30,17,5,0,0,0,0,0,1,7,7,9,7,25,3.57,0,0,0,10.2,120
468,Julian Hill,MIA,TE,23,15,4,0,0,0,0,0,0,0,,9,6,48,8,1,1,0,8.8,96
469,Trishton Jackson,MIN,WR,25,7,0,0,0,0,0,0,0,0,,4,2,9,4.5,0,0,0,4.9,185
470,James Mitchell,DET,TE,24,15,1,0,0,0,0,0,0,0,,2,2,28,14,0,0,0,4.8,97
471,Jalen Nailor,MIN,WR,24,6,1,0,0,0,0,0,0,0,,6,3,29,9.67,0,0,0,5.9,186
472,Teagan Quitoriano,HOU,TE,23,7,5,0,0,0,0,0,0,0,,3,2,33,16.5,0,0,0,5.3,94
473,Cooper Rush,DAL,QB,30,7,0,18,24,144,0,1,12,-5,-0.42,0,0,0,,0,0,0,3.3,69
474,Steven Sims,HOU,WR,26,3,0,0,0,0,0,0,1,1,1,3,3,25,8.33,0,0,0,5.6,187
475,Keith Smith,ATL,FB,31,13,6,0,0,0,0,0,0,0,,3,3,33,11,0,0,0,6.3,119
476,Sean Tucker,TAM,RB,22,11,0,0,0,0,0,0,15,23,1.53,2,2,9,4.5,0,0,0,5.2,121
477,Malik Willis,TEN,QB,24,3,0,4,5,74,0,0,5,21,4.2,0,0,0,,1,1,0,3.1,70
478,Charlie Woerner,SFO,TE,26,17,2,0,0,0,0,0,0,0,,3,3,32,10.67,0,0,0,6.2,95
479,Kenny Yeboah,NYJ,TE,25,5,1,0,0,0,0,0,0,0,,4,2,28,14,0,0,0,4.8,98
480,Nate Adkins,DEN,TE,24,10,1,0,0,0,0,0,0,0,,5,4,22,5.5,0,0,0,6.2,100
481,Kayshon Boutte,NWE,WR,21,5,0,0,0,0,0,0,0,0,,7,2,19,9.5,0,0,0,3.9,190
482,Miles Boykin,PIT,WR,27,17,0,0,0,0,0,0,0,0,,4,3,17,5.67,0,0,0,4.7,192
483,DeeJay Dallas,SEA,RB,25,17,0,0,0,0,0,0,10,36,3.6,9,6,26,4.33,2,2,0,8.2,124
484,Tyrion Davis-Price,SFO,RB,23,1,0,0,0,0,0,0,6,21,3.5,0,0,0,,0,0,0,2.1,126
485,Elijah Dotson,LAC,RB,24,4,0,0,0,0,0,0,4,6,1.5,2,2,13,6.5,0,0,0,3.9,128
486,Zach Evans,LAR,RB,22,10,0,0,0,0,0,0,9,19,2.11,0,0,0,,0,0,0,1.9,129
487,Erik Ezukanma,MIA,WR,23,2,0,0,0,0,0,0,5,22,4.4,1,0,0,,0,0,0,2.2,188
488,Jake Funk,IND,RB,25,4,0,0,0,0,0,0,2,10,5,1,1,12,12,0,0,0,3.2,125
489,Jaren Hall,MIN,QB,25,3,2,13,20,168,0,1,6,14,2.33,0,0,0,,2,2,0,2.1,71
490,Marvin Jones,DET,WR,33,6,4,0,0,0,0,0,0,0,,10,5,35,7,1,1,0,6.5,194
491,Zonovan Knight,DET,RB,22,2,0,0,0,0,0,0,3,13,4.33,1,1,8,8,0,0,0,3.1,127
492,Chris Manhertz,DEN,TE,31,16,4,0,0,0,0,0,0,0,,4,2,16,8,0,0,0,3.6,103
493,Nick Muse,MIN,TE,25,2,0,0,0,0,0,0,0,0,,1,1,22,22,0,0,0,3.2,101
494,Gunner Olszewski,2TM,WR,27,12,0,0,0,0,0,0,0,0,,1,1,0,0,4,2,1,3,189
495,Zach Pascal,ARI,WR,29,14,1,0,0,0,0,0,0,0,,15,4,19,4.75,0,0,0,5.9,191
496,Laquon Treadwell,BAL,WR,28,5,1,0,0,0,0,0,0,0,,3,1,16,16,0,0,0,2.6,193
497,Trevon Wesco,TEN,TE,28,15,10,0,0,0,0,0,0,0,,3,1,21,21,0,0,0,3.1,102
498,Mike White,MIA,QB,28,6,0,5,6,74,1,1,8,-9,-1.13,0,0,0,,1,1,0,2.1,72
499,Alex Armah,WAS,RB,29,8,0,0,0,0,0,0,0,0,,3,3,13,4.33,0,0,0,4.3,130
500,Sean Clifford,GNB,QB,25,2,0,1,1,37,0,0,3,-2,-0.67,0,0,0,,1,0,0,1.3,73
