Fantasy Rank,Player,Team,Fantasy Position,Age,Games Played,Games Started,Passes Completed,Passes Attempted,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Yards Per Attempt,Pass Targets,Receptions,Receiving Yards,Receiving Yards Per Reception,Fumbles,Fumbles Lost,Touchdowns,Fantasy PPR Points,Position Rank
187,Mack Hollins,BUF,WR,31,17,13,0,0,0,0,0,0,0,,50,31,378,12.19,0,0,5,98.8,76
188,Josh Palmer,LAC,WR,25,15,7,0,0,0,0,0,0,0,,65,39,584,14.97,0,0,1,107.4,75
189,Spencer Rattler,NOR,QB,24,7,6,130,228,1317,4,5,18,146,8.11,0,0,0,,5,3,0,67.3,41
190,Olamide Zaccheaus,WAS,WR,27,17,6,0,0,0,0,0,1,8,8,64,45,506,11.24,3,1,3,112.4,77
191,Braelon Allen,NYJ,RB,20,17,2,0,0,0,0,0,92,334,3.63,27,19,148,7.79,0,0,3,85.2,51
192,Marquez Valdes-Scantling,2TM,WR,30,14,8,0,0,0,0,0,1,4,4,44,19,411,21.63,0,0,4,84.5,78
193,Devaughn Vele,DEN,WR,27,13,7,0,0,0,0,0,0,0,,55,41,475,11.59,0,0,3,106.5,79
194,Dalton Schultz,HOU,TE,28,17,13,0,0,0,0,0,0,0,,85,53,532,10.04,0,0,2,118.2,23
195,Parker Washington,JAX,WR,22,17,7,0,0,0,0,0,0,0,,51,32,390,12.19,2,0,4,97,80
196,Austin Hooper,NWE,TE,30,17,8,0,0,0,0,0,0,0,,59,45,476,10.58,2,1,3,108.6,24
197,Ricky Pearsall,SFO,WR,24,11,4,0,1,0,0,0,3,45,15,46,31,400,12.9,0,0,3,93.5,81
198,Dallas Goedert,PHI,TE,29,10,10,0,0,0,0,0,0,0,,52,42,496,11.81,2,0,2,103.6,25
199,Chigoziem Okonkwo,TEN,TE,25,17,11,0,0,0,0,0,1,17,17,70,52,479,9.21,2,1,2,113.6,26
200,Jalen Coker,CAR,WR,23,11,4,1,1,19,0,0,0,0,,46,32,478,14.94,0,0,2,92.6,82
201,Gus Edwards,LAC,RB,29,11,6,0,0,0,0,0,101,365,3.61,5,3,6,2,0,0,4,64.1,53
202,Tyler Huntley,MIA,QB,26,5,5,86,133,829,3,3,26,135,5.19,0,0,0,,6,2,2,60.7,42
203,Roschon Johnson,CHI,RB,23,14,0,0,0,0,0,0,55,150,2.73,20,16,104,6.5,0,0,6,77.4,52
204,Will Dissly,LAC,TE,28,15,8,0,0,0,0,0,0,0,,64,50,481,9.62,0,0,2,110.1,27
205,Elijah Moore,CLE,WR,24,17,13,0,0,0,0,0,1,1,1,102,61,538,8.82,0,0,1,120.9,83
206,Rashid Shaheed,NOR,WR,26,6,5,0,0,0,0,0,6,29,4.83,41,20,349,17.45,1,1,4,79.8,84
207,Sean Tucker,TAM,RB,23,17,0,0,0,0,0,0,50,308,6.16,12,9,109,12.11,1,0,3,68.7,54
208,Andy Dalton,CAR,QB,37,6,5,106,160,989,7,6,11,34,3.09,0,0,0,,2,0,0,59,43
209,Zack Moss,CIN,RB,27,8,6,0,0,0,0,0,74,242,3.27,27,23,187,8.13,2,1,3,81.9,55
210,Tim Patrick,DET,WR,31,16,9,0,0,0,0,0,0,0,,44,33,394,11.94,0,0,3,92.4,85
211,Nick Chubb,CLE,RB,29,8,8,0,0,0,0,0,102,332,3.25,11,5,31,6.2,1,1,4,63.3,56
212,Tutu Atwell,LAR,WR,25,17,5,0,1,0,0,0,2,7,3.5,62,42,562,13.38,0,0,0,98.9,86
213,Dalton Kincaid,BUF,TE,25,13,9,0,0,0,0,0,0,0,,75,44,448,10.18,1,0,2,100.8,28
214,Noah Fant,SEA,TE,27,14,9,0,0,0,0,0,0,0,,64,48,500,10.42,0,0,1,104,29
215,Diontae Johnson,3TM,WR,28,12,8,0,0,0,0,0,2,6,3,67,33,375,11.36,0,0,3,89.1,87
216,Jeremy McNichols,WAS,RB,29,17,1,0,0,0,0,0,55,261,4.75,12,9,27,3,0,0,4,63.8,57
217,Greg Dortch,ARI,WR,26,17,4,0,0,0,0,0,5,31,6.2,50,37,342,9.24,3,1,3,90.3,88
218,David Moore,CAR,WR,29,17,5,0,0,0,0,0,1,0,0,57,32,351,10.97,0,0,3,85.1,89
219,Samaje Perine,KAN,RB,29,17,0,0,0,0,0,0,20,92,4.6,35,28,322,11.5,0,0,2,81.4,58
220,Miles Sanders,CAR,RB,27,11,2,0,0,0,0,0,55,205,3.73,30,24,148,6.17,1,0,3,77.3,59
221,Raheem Mostert,MIA,RB,32,13,1,0,0,0,0,0,85,278,3.27,23,19,161,8.47,2,2,2,70.9,60
222,Malik Willis,GNB,QB,25,7,2,40,54,550,3,0,20,138,6.9,0,0,0,,1,1,1,51.8,44
223,Jordan Akins,CLE,TE,32,17,6,0,0,0,0,0,0,0,,58,40,390,9.75,1,0,2,91,31
224,Noah Brown,WAS,WR,28,11,9,0,0,0,0,0,0,0,,56,35,453,12.94,0,0,1,86.3,91
225,Brenton Strange,JAX,TE,24,17,10,0,0,0,0,0,0,0,,53,40,411,10.28,1,1,2,91.1,30
226,Cedric Tillman,CLE,WR,24,11,6,0,0,0,0,0,1,-5,-5,49,29,339,11.69,1,1,3,80.4,90
227,AJ Barner,SEA,TE,22,17,6,0,0,0,0,0,0,0,,38,30,245,8.17,0,0,4,78.5,32
228,Sterling Shepard,TAM,WR,31,14,5,0,0,0,0,0,8,69,8.63,51,32,334,10.44,0,0,1,80.3,92
229,Kenneth Gainwell,PHI,RB,25,17,1,0,0,0,0,0,75,290,3.87,22,16,116,7.25,0,0,1,62.6,61
230,Ezekiel Elliott,DAL,RB,29,15,2,0,0,0,0,0,74,226,3.05,15,12,69,5.75,1,1,3,57.5,62
231,T.J. Hockenson,MIN,TE,27,10,9,0,0,0,0,0,0,0,,62,41,455,11.1,0,0,0,86.5,33
232,Marcus Mariota,WAS,QB,31,3,0,34,44,364,4,0,18,92,5.11,0,0,0,,0,0,1,45.8,45
233,Jacoby Brissett,NWE,QB,32,8,5,95,161,826,2,1,15,62,4.13,0,0,0,,4,1,0,45.2,46
234,Jake Ferguson,DAL,TE,25,14,14,0,0,0,0,0,0,0,,86,59,494,8.37,4,2,0,104.4,34
235,Chris Olave,NOR,WR,24,8,8,0,0,0,0,0,1,7,7,44,32,400,12.5,1,1,1,76.7,93
236,Isiah Pacheco,KAN,RB,25,7,6,0,0,0,0,0,83,310,3.73,16,12,79,6.58,0,0,1,56.9,63
237,Brandin Cooks,DAL,WR,31,10,9,0,0,0,0,0,3,-3,-1,54,26,259,9.96,0,0,3,69.6,95
238,Audric Estime,DEN,RB,21,13,1,0,0,0,0,0,76,310,4.08,5,5,27,5.4,2,1,2,48.7,64
239,Christian Kirk,JAX,WR,28,8,7,0,0,0,0,0,0,0,,47,27,379,14.04,0,0,1,70.9,94
240,Josh Oliver,MIN,TE,27,15,12,0,0,0,0,0,0,0,,28,22,258,11.73,0,0,3,65.8,35
241,Michael Penix,ATL,QB,24,5,3,61,105,775,3,3,7,11,1.57,0,0,0,,2,0,1,44.1,47
242,Evan Engram,JAX,TE,30,9,9,0,0,0,0,0,0,0,,64,47,365,7.77,1,1,1,89.5,36
243,Dameon Pierce,HOU,RB,24,11,0,0,0,0,0,0,40,293,7.33,4,2,2,1,1,0,2,43.5,65
244,Trey Benson,ARI,RB,21,13,1,0,0,0,0,0,63,291,4.62,6,6,59,9.83,1,0,1,47,66
245,Rashee Rice,KAN,WR,24,4,4,0,0,0,0,0,1,1,1,29,24,288,12,0,0,2,64.9,96
246,Justin Watson,KAN,WR,28,17,7,0,0,0,0,0,0,0,,32,22,289,13.14,0,0,2,62.9,97
247,Van Jefferson,PIT,WR,28,17,12,0,0,0,0,0,0,0,,40,24,276,11.5,0,0,2,63.6,98
248,Kalif Raymond,DET,WR,30,12,2,0,0,0,0,0,2,0,0,22,17,215,12.65,0,0,3,56.5,99
249,Ja'Tavion Sanders,CAR,TE,21,16,8,0,0,0,0,0,0,0,,43,33,342,10.36,1,0,1,73.2,37
250,Tyler Boyd,TEN,WR,30,16,8,0,1,0,0,0,1,3,3,57,39,390,10,0,0,0,78.3,100
251,Emari Demercado,ARI,RB,25,13,0,0,0,0,0,0,24,223,9.29,20,16,104,6.5,0,0,1,54.7,67
252,Troy Franklin,DEN,WR,21,16,6,0,0,0,0,0,2,8,4,53,28,263,9.39,0,0,2,67.1,101
253,Theo Johnson,NYG,TE,23,12,11,0,0,0,0,0,0,0,,43,29,331,11.41,0,0,1,68.1,38
254,Kyle Juszczyk*,SFO,FB,33,17,15,0,0,0,0,0,5,26,5.2,31,19,200,10.53,1,1,3,57.6,68
255,Trey Sermon,IND,RB,25,17,3,0,0,0,0,0,56,159,2.84,19,16,99,6.19,0,0,2,53.8,69
256,Brandon Aiyuk,SFO,WR,26,7,7,0,0,0,0,0,0,0,,47,25,374,14.96,0,0,0,62.4,102
257,Kendrick Bourne,NWE,WR,29,12,9,0,1,0,0,0,1,6,6,38,28,305,10.89,0,0,1,65.1,104
258,Dyami Brown,WAS,WR,25,16,3,0,1,0,0,0,3,26,8.67,40,30,308,10.27,1,1,1,67.4,103
