Fantasy Rank,Player,Team,Fantasy Position,Age,Games Played,Games Started,Passes Completed,Passes Attempted,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Yards Per Attempt,Pass Targets,Receptions,Receiving Yards,Receiving Yards Per Reception,Fumbles,Fumbles Lost,Touchdowns,Fantasy PPR Points,Position Rank
315,Malik Heath,GNB,WR,24,13,1,0,0,0,0,0,0,0,,13,10,97,9.7,0,0,2,31.7,126
316,Khalil Herbert,2TM,RB,26,14,1,0,0,0,0,0,36,130,3.61,11,10,25,2.5,1,0,1,31.5,89
317,Desmond Ridder,LVR,QB,25,6,1,52,85,458,2,2,9,36,4,0,0,0,,3,2,0,21.9,51
318,Brock Wright,DET,TE,26,17,8,0,0,0,0,0,0,0,,16,13,100,7.69,0,0,2,35,52
319,Mo Alie-Cox,IND,TE,31,17,13,0,0,0,0,0,0,0,,22,12,147,12.25,0,0,1,32.7,53
320,Mecole Hardman,KAN,WR,26,12,0,0,0,0,0,0,5,62,12.4,14,12,90,7.5,0,0,1,33.2,127
321,Sincere McCormick,LVR,RB,24,5,2,0,0,0,0,0,39,183,4.69,7,6,29,4.83,0,0,0,27.2,90
322,Ja'Lynn Polk,NWE,WR,22,15,7,0,0,0,0,0,1,0,0,33,12,87,7.25,0,0,2,32.7,128
323,Pierre Strong,CLE,RB,26,14,0,0,0,0,0,0,26,108,4.15,22,14,104,7.43,0,0,0,35.2,91
324,Jimmy Garoppolo,LAR,QB,33,1,1,27,41,334,2,1,2,5,2.5,0,0,0,,0,0,0,19.9,53
325,Tanner Hudson,CIN,TE,30,11,0,0,0,0,0,0,1,1,1,23,19,154,8.11,1,1,1,38.5,54
326,Dante Pettis,NOR,WR,29,8,0,0,0,0,0,0,0,0,,28,12,120,10,0,0,1,32,129
327,Tyrod Taylor,NYJ,QB,35,2,0,17,22,119,3,0,3,13,4.33,0,0,0,,1,0,0,20.1,52
328,Michael Burton,DEN,FB,32,17,2,0,0,0,0,0,7,8,1.14,10,10,65,6.5,0,0,2,29.3,93
329,Jamycal Hasty,NWE,RB,28,15,0,0,0,0,0,0,20,69,3.45,12,10,59,5.9,0,0,1,28.8,94
330,Tyler Higbee,LAR,TE,31,3,3,0,0,0,0,0,0,0,,12,8,66,8.25,0,0,2,26.6,58
331,Charlie Kolar,BAL,TE,25,13,3,0,0,0,0,0,1,2,2,11,9,131,14.56,0,0,1,28.3,55
332,Kenny McIntosh,SEA,RB,24,17,0,0,0,0,0,0,31,172,5.55,4,3,22,7.33,0,0,0,22.4,92
333,Joe Milton,NWE,QB,24,1,0,22,29,241,1,0,10,16,1.6,0,0,0,,1,1,1,19.2,54
334,Stone Smartt,LAC,TE,26,15,2,0,0,0,0,0,0,0,,19,16,208,13,1,1,0,34.8,57
335,Cade Stover,HOU,TE,24,15,9,0,0,0,0,0,0,0,,22,15,133,8.87,0,0,1,34.3,56
336,DeeJay Dallas,ARI,RB,26,17,0,0,0,0,0,0,9,49,5.44,3,3,11,3.67,1,0,2,21,95
337,Kylen Granson,IND,TE,26,17,6,0,0,0,0,0,0,0,,31,14,182,13,0,0,0,32.2,59
338,Bub Means,NOR,WR,23,7,1,0,0,0,0,0,0,0,,15,9,118,13.11,0,0,1,26.8,131
339,Craig Reynolds,DET,RB,28,17,0,0,0,0,0,0,31,139,4.48,5,3,40,13.33,1,0,0,20.9,96
340,Robert Woods,HOU,WR,32,15,4,0,0,0,0,0,0,0,,30,20,203,10.15,3,1,0,38.3,130
341,Jake Bobo,SEA,WR,26,17,3,0,0,0,0,0,0,0,,17,13,107,8.23,0,0,1,29.7,135
342,Jamison Crowder,WAS,WR,31,6,1,0,0,0,0,0,0,0,,13,9,72,8,2,1,2,26.2,132
343,Ashton Dulin,IND,WR,27,15,2,0,0,0,0,0,5,45,9,8,2,67,33.5,0,0,1,19.2,133
344,Luke McCaffrey,WAS,WR,23,17,4,0,0,0,0,0,0,0,,24,18,168,9.33,0,0,0,34.8,134
345,Andrew Ogletree,IND,TE,26,17,6,0,0,0,0,0,0,0,,14,9,109,12.11,0,0,1,25.9,60
346,Drew Sample,CIN,TE,28,17,15,0,0,0,0,0,1,-4,-4,22,20,109,5.45,1,0,1,36.5,61
347,Carson Steele,KAN,RB,22,17,3,0,0,0,0,0,56,183,3.27,11,7,26,3.71,3,2,0,23.9,97
348,Erick All,CIN,TE,24,9,6,0,0,0,0,0,0,0,,22,20,158,7.9,0,0,0,35.8,62
349,Kevin Austin,NOR,WR,24,8,2,0,0,0,0,0,1,9,9,22,11,151,13.73,1,0,0,27,136
350,Michael Mayer,LVR,TE,23,11,8,0,0,0,0,0,0,0,,32,21,156,7.43,0,0,0,36.6,64
351,Eric Saubert,SFO,TE,30,17,3,0,0,0,0,0,0,0,,14,11,97,8.82,1,0,1,26.7,63
352,Dorian Thompson-Robinson,CLE,QB,25,7,2,61,118,440,0,6,21,122,5.81,0,0,0,,3,1,0,15.8,55
353,Alec Ingold,MIA,FB,28,15,10,0,0,0,0,0,10,17,1.7,12,11,96,8.73,2,1,1,26.3,98
354,Lucas Krull,DEN,TE,26,13,2,0,0,0,0,0,0,0,,23,19,152,8,0,0,0,34.2,65
355,Hunter Luepke,DAL,RB,24,16,4,0,0,0,0,0,12,38,3.17,16,12,111,9.25,0,0,0,26.9,99
356,Bo Melton,GNB,WR,25,17,0,0,0,0,0,0,8,54,6.75,17,8,91,11.38,0,0,0,22.5,138
357,Jonathan Mingo,2TM,WR,23,17,6,0,0,0,0,0,2,5,2.5,42,17,167,9.82,1,1,0,32.2,137
358,Mitchell Trubisky,BUF,QB,30,9,0,19,26,179,2,0,17,1,0.06,0,0,0,,1,0,0,15.3,56
359,Tim Boyle,2TM,QB,30,3,0,27,50,276,1,1,3,9,3,0,0,0,,0,0,0,13.9,57
360,Jordan Mims,NOR,RB,25,11,0,0,0,0,0,0,20,70,3.5,18,12,71,5.92,0,0,0,26.1,101
361,Patrick Ricard*+,BAL,FB,30,17,6,0,0,0,0,0,0,0,,5,3,22,7.33,0,0,2,17.2,100
362,Trent Sherfield,MIN,WR,28,17,1,0,0,0,0,0,0,0,,9,8,83,10.38,0,0,1,22.3,139
363,Daniel Bellinger,NYG,TE,24,17,8,0,0,0,0,0,0,0,,17,14,125,8.93,0,0,0,26.5,66
364,Tommy DeVito,NYG,QB,26,3,2,31,44,257,0,0,8,32,4,0,0,0,,0,0,0,13.5,58
365,Jake Haener,NOR,QB,25,8,1,18,39,226,1,1,11,22,2,0,0,0,,0,0,0,13.2,59
366,Trey Lance,DAL,QB,24,4,1,25,41,266,0,1,11,41,3.73,0,0,0,,0,0,0,12.7,60
367,Ronnie Rivers,LAR,RB,25,17,0,0,0,0,0,0,22,99,4.5,6,5,34,6.8,0,0,0,18.3,102
368,Tyrell Shavers,BUF,WR,25,3,0,0,0,0,0,0,0,0,,1,1,69,69,0,0,1,13.9,140
369,Xavier Hutchinson,HOU,WR,24,16,3,0,0,0,0,0,0,0,,26,12,117,9.75,0,0,0,23.7,142
370,Rakim Jarrett,TAM,WR,23,10,2,0,0,0,0,0,0,0,,11,9,124,13.78,0,0,0,21.4,141
371,Tony Jones,ARI,RB,27,1,0,0,0,0,0,0,4,55,13.75,0,0,0,,0,0,1,11.5,104
372,K.J. Osborn,2TM,WR,27,8,4,0,0,0,0,0,0,0,,18,7,57,8.14,0,0,1,18.7,143
373,Will Shipley,PHI,RB,22,16,1,0,0,0,0,0,30,82,2.73,4,4,35,8.75,0,0,0,15.7,103
374,Jermaine Burton,CIN,WR,23,14,1,0,0,0,0,0,0,0,,14,4,107,26.75,0,0,0,14.7,145
375,Julius Chestnut,TEN,RB,24,17,0,0,0,0,0,0,22,102,4.64,3,2,11,5.5,0,0,0,13.3,105
376,Simi Fehoko,LAC,WR,27,8,2,0,0,0,0,0,0,0,,16,6,106,17.67,0,0,0,16.6,147
377,Tay Martin,TEN,WR,27,1,0,0,0,0,0,0,0,0,,2,1,49,49,0,0,1,11.9,144
378,Jeremy Ruckert,NYJ,TE,24,17,9,0,0,0,0,0,0,0,,28,18,105,5.83,0,0,0,28.5,69
379,Ainias Smith,PHI,WR,23,7,1,0,0,0,0,0,2,6,3,9,7,41,5.86,0,0,1,17.7,146
380,Blake Whiteheart,CLE,TE,24,11,2,0,0,0,0,0,0,0,,9,6,51,8.5,0,0,1,17.1,67
381,Kenny Yeboah,NYJ,TE,26,9,1,0,0,0,0,0,0,0,,8,5,47,9.4,0,0,1,15.7,68
382,Connor Heyward,PIT,TE,25,17,5,0,0,0,0,0,0,0,,8,6,40,6.67,0,0,1,16,70
383,Julian Hill,MIA,TE,24,16,11,0,0,0,0,0,0,0,,19,12,100,8.33,1,0,0,22,71
384,Davis Mills,HOU,QB,26,4,0,20,36,212,0,0,3,11,3.67,0,0,0,,0,0,0,9.6,61
385,Quintin Morris,BUF,TE,25,16,3,0,0,0,0,0,0,0,,8,5,36,7.2,0,0,1,14.6,73
386,Bryce Oliver,TEN,WR,24,10,1,0,0,0,0,0,0,0,,9,6,95,15.83,0,0,0,15.5,150
387,MyCole Pruitt,PIT,TE,32,12,5,0,0,0,0,0,0,0,,10,6,40,6.67,0,0,1,16,72
388,Mason Tipton,NOR,WR,24,11,1,0,0,0,0,0,0,0,,26,14,99,7.07,0,0,0,23.9,148
389,Johnny Wilson,PHI,WR,23,16,4,0,0,0,0,0,0,0,,15,5,38,7.6,0,0,1,14.8,149
390,Marquise Brown,KAN,WR,27,2,1,0,0,0,0,0,0,0,,15,9,91,10.11,0,0,0,18.1,151
391,Harrison Bryant,LVR,TE,26,13,3,0,0,0,0,0,0,0,,12,9,86,9.56,0,0,0,17.6,78
392,Parris Campbell,PHI,WR,27,5,0,0,0,0,0,0,0,0,,8,6,30,5,0,0,1,15,153
393,DJ Chark,LAC,WR,28,7,0,0,0,0,0,0,0,0,,10,4,31,7.75,0,0,1,13.1,152
394,Devin Culp,TAM,TE,24,5,0,0,0,0,0,0,0,0,,6,5,88,17.6,0,0,0,13.8,75
395,C.J. Ham,MIN,FB,31,17,3,0,0,0,0,0,2,10,5,6,5,35,7,1,1,1,13.5,107
396,Chris Manhertz,NYG,TE,32,17,11,0,0,0,0,0,0,0,,4,3,30,10,0,0,1,12,74
397,Ben Sinnott,WAS,TE,22,17,2,0,0,0,0,0,0,0,,5,5,28,5.6,0,0,1,13.8,76
398,Brevyn Spann-Ford,DAL,TE,25,17,0,0,0,0,0,0,0,0,,14,9,88,9.78,0,0,0,17.8,77
399,Deuce Vaughn,DAL,RB,23,7,0,0,0,0,0,0,17,70,4.12,5,3,18,6,0,0,0,11.8,106
400,Raheem Blackshear,CAR,RB,25,16,1,0,0,0,0,0,15,80,5.33,0,0,0,,2,0,0,8,108
401,Chris Conley,SFO,WR,32,15,2,0,0,0,0,0,0,0,,12,6,76,12.67,0,0,0,13.6,161
402,Devin Duvernay,JAX,WR,27,13,1,0,0,0,0,0,4,3,0.75,16,11,79,7.18,1,0,0,19.2,156
403,Ryan Flournoy,DAL,WR,25,11,1,0,0,0,0,0,0,0,,14,10,102,10.2,1,1,0,18.2,157
404,Xavier Gipson,NYJ,WR,23,17,0,0,0,0,0,0,1,5,5,10,6,39,6.5,4,1,1,14.4,154
405,Zay Jones,ARI,WR,29,11,2,0,0,0,0,0,0,0,,11,8,84,10.5,0,0,0,16.4,155
406,Jalen Reagor,LAC,WR,25,8,2,0,0,0,0,0,3,-3,-1,12,7,100,14.29,1,1,0,14.7,160
407,Skylar Thompson,MIA,QB,27,3,1,21,33,187,0,0,1,4,4,0,0,0,,2,0,0,7.9,62
408,Devontez Walker,BAL,WR,23,9,0,0,0,0,0,0,0,0,,3,1,21,21,0,0,1,9.1,158
409,Kristian Wilkerson,LVR,WR,27,3,0,0,0,0,0,0,0,0,,3,2,18,9,0,0,1,9.8,159
410,Jeff Wilson,MIA,RB,29,9,0,0,0,0,0,0,16,57,3.56,3,3,19,6.33,0,0,0,10.6,109
411,Jacob Cowing,SFO,WR,23,15,0,0,0,0,0,0,1,7,7,6,4,80,20,2,1,0,10.7,165
412,River Cracraft,MIA,WR,30,8,0,0,0,0,0,0,0,0,,9,7,66,9.43,0,0,0,13.6,166
413,Clyde Edwards-Helaire,NOR,RB,25,2,0,0,0,0,0,0,13,46,3.54,5,3,24,8,0,0,0,10,111
414,Luke Farrell,JAX,TE,27,17,8,0,0,0,0,0,0,0,,17,12,67,5.58,0,0,0,18.7,80
415,Eric Gray,NYG,RB,25,17,0,0,0,0,0,0,14,31,2.21,11,10,82,8.2,3,2,0,17.3,110
416,Hayden Hurst,LAC,TE,31,9,2,0,0,0,0,0,0,0,,13,8,73,9.13,0,0,0,15.3,79
417,E.J. Jenkins,PHI,TE,26,8,0,0,0,0,0,0,0,0,,2,1,7,7,0,0,1,7.7,81
418,Scott Miller,PIT,WR,27,13,1,0,0,0,0,0,0,0,,9,5,69,13.8,0,0,0,11.9,163
419,Brandon Powell,MIN,WR,29,17,1,0,0,0,0,0,0,0,,10,7,71,10.14,1,0,0,14.1,162
420,Ben Skowronek,PIT,WR,27,10,1,0,0,0,0,0,0,0,,5,5,69,13.8,0,0,0,11.9,164
421,Michael Woods II,CLE,WR,24,5,2,0,0,0,0,0,0,0,,17,7,65,9.29,0,0,0,13.5,167
422,Bailey Zappe,CLE,QB,25,1,1,16,31,170,1,2,2,2,1,0,0,0,,0,0,0,7,63
423,Brandon Allen,SFO,QB,32,3,1,17,30,199,1,2,3,4,1.33,0,0,0,,2,1,0,6.4,64
424,Tyler Badie,DEN,RB,24,3,0,0,0,0,0,0,11,86,7.82,3,3,-2,-0.67,1,1,0,9.4,112
425,John Bates,WAS,TE,27,17,6,0,0,0,0,0,0,0,,13,8,84,10.5,1,1,0,14.4,82
426,Odell Beckham Jr.,MIA,WR,32,9,0,0,0,0,0,0,0,0,,18,9,55,6.11,0,0,0,14.5,171
427,Jalin Hyatt,NYG,WR,23,16,3,0,0,0,0,0,0,0,,19,8,62,7.75,0,0,0,14.2,168
428,Hunter Long,LAR,TE,26,17,2,0,0,0,0,0,0,0,,9,7,60,8.57,0,0,0,13,83
429,Keaton Mitchell,BAL,RB,22,5,0,0,0,0,0,0,15,30,2,1,1,28,28,0,0,0,6.8,114
430,Kene Nwangwu,NYJ,RB,26,2,0,0,0,0,0,0,0,0,,0,0,0,,0,0,1,6,113
431,Laviska Shenault Jr.,2TM,WR,26,12,2,0,0,0,0,0,1,1,1,5,5,36,7.2,2,2,1,10.7,170
432,Ihmir Smith-Marsette,NYG,WR,25,15,0,0,0,0,0,0,0,0,,0,0,0,,1,0,1,6,169
433,Mike Boone,CAR,RB,29,6,0,0,0,0,0,0,13,51,3.92,3,1,-2,-2,0,0,0,5.9,116
434,Jonathon Brooks,CAR,RB,21,3,1,0,0,0,0,0,9,22,2.44,3,3,23,7.67,0,0,0,7.5,117
435,Pharaoh Brown,SEA,TE,30,15,7,0,0,0,0,0,0,0,,12,8,65,8.13,1,1,0,12.5,87
436,DeAndre Carter,CHI,WR,31,13,0,0,0,0,0,0,0,0,,14,9,72,8,1,1,0,14.2,172
437,Peyton Hendershot,KAN,TE,25,7,1,0,0,0,0,0,0,0,,5,5,51,10.2,0,0,0,10.1,85
438,Charlie Jones,CIN,WR,26,8,0,0,0,0,0,0,0,0,,1,1,5,5,2,1,1,5.5,175
439,Luke Musgrave,GNB,TE,24,7,3,0,0,0,0,0,0,0,,10,7,45,6.43,0,0,0,11.5,88
440,Nikko Remigio,KAN,WR,25,5,1,0,0,0,0,0,0,0,,6,2,48,24,1,0,0,6.8,173
441,Durham Smythe,MIA,TE,29,17,4,0,0,0,0,0,0,0,,17,9,53,5.89,0,0,0,14.3,84
442,Tyquan Thornton,NWE,WR,24,6,1,0,0,0,0,0,0,0,,8,4,47,11.75,0,0,0,8.7,174
443,Sione Vaki,DET,RB,23,16,0,0,0,0,0,0,6,14,2.33,3,3,37,12.33,0,0,0,8.1,115
444,Carson Wentz,KAN,QB,32,3,1,12,19,118,0,0,3,0,0,0,0,0,,0,0,0,4.7,65
445,Charlie Woerner,ATL,TE,27,16,5,0,0,0,0,0,0,0,,12,7,46,6.57,0,0,0,11.6,86
446,Davis Allen,LAR,TE,23,15,5,0,0,0,0,0,0,0,,13,6,39,6.5,0,0,0,9.9,90
447,Treylon Burks,TEN,WR,24,5,2,0,0,0,0,0,2,1,0.5,8,4,34,8.5,0,0,0,7.5,182
448,Dan Chisena,CAR,WR,27,6,0,0,0,0,0,0,0,0,,4,3,37,12.33,0,0,0,6.7,181
449,D'Wayne Eskridge,MIA,WR,27,6,0,0,0,0,0,0,0,0,,3,3,44,14.67,0,0,0,7.4,176
450,Gerald Everett,CHI,TE,30,17,4,0,0,0,0,0,0,0,,13,8,36,4.5,0,0,0,11.6,93
451,Tucker Fisk,LAC,TE,25,9,5,0,0,0,0,0,0,0,,8,7,39,5.57,0,0,0,10.9,91
452,Tim Jones,JAX,WR,26,17,0,0,0,0,0,0,0,0,,5,3,41,13.67,0,0,0,7.1,179
453,Jacob Kibodi,CLE,RB,26,1,0,0,0,0,0,0,5,24,4.8,3,1,15,15,0,0,0,4.9,119
454,Terrace Marshall Jr.,LVR,WR,24,7,1,0,0,0,0,0,0,0,,6,3,41,13.67,0,0,0,7.1,180
455,Tip Reiman,ARI,TE,23,17,9,0,0,0,0,0,0,0,,7,6,37,6.17,0,0,0,9.7,92
456,Ben Sims,GNB,TE,24,17,5,0,0,0,0,0,0,0,,5,4,42,10.5,0,0,0,8.2,89
457,Xavier Smith,LAR,WR,27,15,0,0,0,0,0,0,4,36,9,2,2,6,3,0,0,0,6.2,178
458,J.J. Taylor,HOU,RB,26,5,0,0,0,0,0,0,10,44,4.4,3,2,0,0,0,0,0,6.4,118
459,Cody White,SEA,WR,26,4,0,0,0,0,0,0,0,0,,3,2,44,22,0,0,0,6.4,177
460,Rasheen Ali,BAL,RB,23,6,0,0,0,0,0,0,10,31,3.1,2,0,0,,0,0,0,3.1,124
461,Alex Bachman,LVR,WR,28,6,1,0,0,0,0,0,0,0,,3,3,31,10.33,0,0,0,6.1,184
462,David Bell,CLE,WR,24,1,0,0,0,0,0,0,0,0,,3,3,27,9,0,0,0,5.7,186
463,Dalvin Cook,DAL,RB,29,2,0,0,0,0,0,0,8,20,2.5,1,1,10,10,0,0,0,4,125
464,Britain Covey,PHI,WR,27,5,1,0,0,0,0,0,0,0,,8,7,34,4.86,0,0,0,10.4,183
465,Greg Dulcich,2TM,TE,24,9,3,0,0,0,0,0,0,0,,12,5,28,5.6,0,0,0,7.8,95
466,Cam Grandy,CIN,TE,24,8,6,0,0,0,0,0,0,0,,5,5,28,5.6,0,0,0,7.8,96
467,Taylor Heinicke,LAC,QB,31,4,0,3,5,28,0,0,2,20,10,0,0,0,,0,0,0,3.1,66
468,Travis Homer,CHI,RB,26,10,0,0,0,0,0,0,6,23,3.83,3,3,11,3.67,0,0,0,6.4,120
469,Hendon Hooker,DET,QB,26,3,0,6,9,62,0,0,5,2,0.4,0,0,0,,0,0,0,2.7,67
470,Jermar Jefferson,DET,RB,24,2,0,0,0,0,0,0,6,22,3.67,1,1,10,10,0,0,0,4.2,122
471,Terrell Jennings,NWE,RB,23,3,0,0,0,0,0,0,13,33,2.54,1,0,0,,0,0,0,3.3,121
472,Will Mallory,IND,TE,25,10,0,0,0,0,0,0,0,0,,8,4,29,7.25,0,0,0,6.9,94
473,Jase McClellan,ATL,RB,22,2,0,0,0,0,0,0,13,32,2.46,0,0,0,,0,0,0,3.2,123
474,Allen Robinson,DET,WR,31,12,0,0,0,0,0,0,0,0,,7,3,30,10,0,0,0,6,185
475,Deven Thompkins,CAR,WR,25,7,0,0,0,0,0,0,2,7,3.5,4,4,20,5,0,0,0,6.7,187
476,Jaheim Bell,NWE,TE,23,15,0,0,0,0,0,0,0,0,,3,2,20,10,0,0,0,4,99
477,Ronnie Bell,SFO,WR,24,9,0,0,0,0,0,0,0,0,,6,2,22,11,0,0,0,4.2,189
478,Chris Blair,ATL,WR,27,4,0,0,0,0,0,0,0,0,,2,1,17,17,0,0,0,2.7,193
479,Tanner Conner,MIA,TE,26,8,1,0,0,0,0,0,0,0,,4,3,16,5.33,0,0,0,4.6,100
480,Malachi Corley,NYJ,WR,22,9,1,0,0,0,0,0,2,26,13,6,3,16,5.33,1,1,0,5.2,190
481,Anthony Gould,IND,WR,23,8,0,0,0,0,0,0,0,0,,1,1,23,23,0,0,0,3.3,188
482,Dallin Holker,NOR,TE,24,12,2,0,0,0,0,0,0,0,,4,3,21,7,0,0,0,5.1,98
483,Trenton Irwin,CIN,WR,29,7,2,0,0,0,0,0,0,0,,10,3,15,5,0,0,0,4.5,196
484,Mason Kinsey,TEN,WR,26,6,0,0,0,0,0,0,0,0,,2,2,17,8.5,0,0,0,3.7,194
485,MarShawn Lloyd,GNB,RB,23,1,0,0,0,0,0,0,6,15,2.5,1,1,3,3,0,0,0,2.8,128
486,Anthony Miller,BAL,WR,30,2,0,0,0,0,0,0,0,0,,1,1,16,16,0,0,0,2.6,195
487,Aaron Shampklin,PIT,RB,25,3,0,0,0,0,0,0,6,17,2.83,0,0,0,,0,0,0,1.7,129
488,Jamari Thrash,CLE,WR,24,9,0,0,0,0,0,0,0,0,,7,3,22,7.33,0,0,0,5.2,191
489,Austin Trammell,JAX,WR,26,1,0,0,0,0,0,0,0,0,,3,2,40,20,1,1,0,4,192
490,Jonathan Ward,PIT,RB,27,4,0,0,0,0,0,0,5,22,4.4,0,0,0,,0,0,0,2.2,127
491,Blake Watson,DEN,RB,25,2,0,0,0,0,0,0,4,10,2.5,2,1,13,13,0,0,0,3.3,126
492,Shane Zylstra,DET,TE,28,12,1,0,0,0,0,0,0,0,,1,1,22,22,0,0,0,3.2,97
493,Kyle Allen,PIT,QB,28,1,0,1,1,19,0,0,0,0,,0,0,0,,0,0,0,0.8,71
494,Robbie Chosen,MIA,WR,31,2,0,0,0,0,0,0,0,0,,4,1,5,5,0,0,0,1.5,211
495,Javon Baker,NWE,WR,22,11,1,0,0,0,0,0,0,0,,4,1,12,12,0,0,0,2.2,198
496,Chris Collier,2TM,RB,24,8,0,0,0,0,0,0,5,12,2.4,2,1,-4,-4,0,0,0,1.8,133
497,Jaelon Darden,2TM,WR,25,12,1,0,0,0,0,0,0,0,,1,1,6,6,0,0,0,1.6,207
498,Tyrion Davis-Price,PHI,RB,24,1,0,0,0,0,0,0,3,7,2.33,0,0,0,,0,0,0,0.7,134
499,Zach Davidson,BUF,TE,26,2,0,0,0,0,0,0,0,0,,2,1,5,5,0,0,0,1.5,111
